id,Texture_sol,Couleur_sol,Type_irrigation,Hauteur_Eau,Niveau_Engrais,Temperature_Actuelle,Densite_Tilapia_Are
1251,Limoneux,Noiratre (Rich),Irrigue (Continu),6,Moyen (Zezika Omby),très chaud,23
1252,Argileux (Madity),Orange / Rouge,Irrigue (Continu),19,Fort (Zezika + NPK),très chaud,46
1253,Argileux (Madity),Orange / Rouge,Irrigue (Continu),20,Fort (Zezika + NPK),humide,46
1254,Limoneux,Orange / Rouge,Irrigue (Continu),16,Fort (Zezika + NPK),chaud,40
1255,Limoneux,Orange / Rouge,Pluvial,19,Nul,humide,13
1256,Argileux (Madity),Brun-Grisatre,Pluvial,20,Moyen (Zezika Omby),très chaud,37
1257,Argileux (Madity),Noiratre (Rich),Pluvial,8,Nul,froid,25
1258,Limoneux,Orange / Rouge,Irrigue (Continu),14,Fort (Zezika + NPK),humide,38
1259,Argileux (Madity),Noiratre (Rich),Pluvial,10,Nul,chaud,39
1260,Sableux,Noiratre (Rich),Pluvial,7,Nul,tres froid,10
1261,Sableux,Noiratre (Rich),Pluvial,6,Fort (Zezika + NPK),tres froid,10
1262,Limoneux,Brun-Grisatre,Irrigue (Continu),20,Fort (Zezika + NPK),humide,48
1263,Sableux,Orange / Rouge,Pluvial,12,Fort (Zezika + NPK),chaud,24
1264,Argileux (Madity),Noiratre (Rich),Pluvial,14,Moyen (Zezika Omby),froid,30
1265,Sableux,Brun-Grisatre,Pluvial,5,Nul,tres froid,10
1266,Limoneux,Brun-Grisatre,Irrigue (Continu),8,Nul,froid,16
1267,Sableux,Noiratre (Rich),Irrigue (Continu),17,Nul,chaud,50
1268,Argileux (Madity),Orange / Rouge,Irrigue (Continu),12,Moyen (Zezika Omby),très chaud,42
1269,Argileux (Madity),Brun-Grisatre,Pluvial,20,Fort (Zezika + NPK),froid,31
1270,Argileux (Madity),Orange / Rouge,Pluvial,11,Moyen (Zezika Omby),tres froid,15
1271,Argileux (Madity),Brun-Grisatre,Pluvial,11,Fort (Zezika + NPK),humide,27
1272,Argileux (Madity),Noiratre (Rich),Pluvial,12,Fort (Zezika + NPK),froid,33
1273,Limoneux,Noiratre (Rich),Pluvial,8,Moyen (Zezika Omby),très chaud,24
1274,Sableux,Orange / Rouge,Pluvial,7,Moyen (Zezika Omby),très chaud,10
1275,Sableux,Noiratre (Rich),Irrigue (Continu),13,Nul,chaud,38
1276,Sableux,Brun-Grisatre,Irrigue (Continu),17,Fort (Zezika + NPK),tres froid,30
1277,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),13,Moyen (Zezika Omby),froid,33
1278,Argileux (Madity),Orange / Rouge,Irrigue (Continu),13,Moyen (Zezika Omby),humide,40
1279,Sableux,Orange / Rouge,Irrigue (Continu),5,Moyen (Zezika Omby),très chaud,19
1280,Sableux,Brun-Grisatre,Irrigue (Continu),13,Fort (Zezika + NPK),chaud,37
1281,Limoneux,Orange / Rouge,Irrigue (Continu),12,Nul,humide,19
1282,Sableux,Orange / Rouge,Pluvial,8,Fort (Zezika + NPK),très chaud,20
1283,Sableux,Noiratre (Rich),Irrigue (Continu),19,Fort (Zezika + NPK),chaud,50
1284,Limoneux,Noiratre (Rich),Irrigue (Continu),8,Moyen (Zezika Omby),humide,39
1285,Argileux (Madity),Noiratre (Rich),Pluvial,17,Moyen (Zezika Omby),très chaud,31
1286,Sableux,Noiratre (Rich),Irrigue (Continu),10,Nul,très chaud,13
1287,Argileux (Madity),Orange / Rouge,Irrigue (Continu),12,Moyen (Zezika Omby),très chaud,37
1288,Argileux (Madity),Orange / Rouge,Pluvial,9,Nul,tres froid,10
1289,Limoneux,Orange / Rouge,Pluvial,20,Moyen (Zezika Omby),très chaud,21
1290,Limoneux,Brun-Grisatre,Pluvial,18,Fort (Zezika + NPK),très chaud,30
1291,Argileux (Madity),Orange / Rouge,Pluvial,11,Fort (Zezika + NPK),humide,33
1292,Argileux (Madity),Orange / Rouge,Pluvial,17,Nul,humide,26
1293,Limoneux,Brun-Grisatre,Irrigue (Continu),11,Moyen (Zezika Omby),chaud,44
1294,Sableux,Brun-Grisatre,Pluvial,15,Fort (Zezika + NPK),tres froid,16
1295,Argileux (Madity),Brun-Grisatre,Pluvial,9,Nul,chaud,28
1296,Argileux (Madity),Brun-Grisatre,Pluvial,12,Moyen (Zezika Omby),chaud,35
1297,Limoneux,Orange / Rouge,Pluvial,17,Fort (Zezika + NPK),froid,29
1298,Sableux,Brun-Grisatre,Irrigue (Continu),8,Fort (Zezika + NPK),tres froid,33
1299,Limoneux,Noiratre (Rich),Pluvial,10,Moyen (Zezika Omby),tres froid,14
1300,Limoneux,Brun-Grisatre,Irrigue (Continu),12,Nul,tres froid,10
1301,Limoneux,Brun-Grisatre,Irrigue (Continu),6,Moyen (Zezika Omby),tres froid,11
1302,Limoneux,Orange / Rouge,Pluvial,14,Fort (Zezika + NPK),tres froid,25
1303,Sableux,Orange / Rouge,Irrigue (Continu),10,Nul,humide,15
1304,Sableux,Noiratre (Rich),Irrigue (Continu),7,Nul,humide,13
1305,Limoneux,Orange / Rouge,Irrigue (Continu),15,Nul,froid,17
1306,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),14,Moyen (Zezika Omby),tres froid,31
1307,Limoneux,Orange / Rouge,Irrigue (Continu),20,Nul,froid,21
1308,Argileux (Madity),Brun-Grisatre,Pluvial,20,Moyen (Zezika Omby),humide,29
1309,Limoneux,Noiratre (Rich),Pluvial,14,Fort (Zezika + NPK),tres froid,24
1310,Sableux,Brun-Grisatre,Irrigue (Continu),18,Moyen (Zezika Omby),humide,35
1311,Argileux (Madity),Noiratre (Rich),Pluvial,15,Fort (Zezika + NPK),chaud,47
1312,Limoneux,Noiratre (Rich),Irrigue (Continu),17,Nul,très chaud,27
1313,Argileux (Madity),Brun-Grisatre,Pluvial,15,Nul,chaud,41
1314,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),19,Fort (Zezika + NPK),chaud,50
1315,Limoneux,Orange / Rouge,Pluvial,20,Nul,très chaud,14
1316,Argileux (Madity),Brun-Grisatre,Pluvial,6,Fort (Zezika + NPK),humide,27
1317,Sableux,Brun-Grisatre,Pluvial,10,Nul,chaud,21
1318,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),12,Fort (Zezika + NPK),froid,50
1319,Sableux,Brun-Grisatre,Irrigue (Continu),12,Moyen (Zezika Omby),très chaud,31
1320,Limoneux,Orange / Rouge,Pluvial,7,Fort (Zezika + NPK),froid,17
1321,Limoneux,Noiratre (Rich),Irrigue (Continu),19,Nul,très chaud,33
1322,Argileux (Madity),Orange / Rouge,Irrigue (Continu),13,Fort (Zezika + NPK),humide,44
1323,Limoneux,Orange / Rouge,Pluvial,6,Nul,chaud,17
1324,Limoneux,Brun-Grisatre,Pluvial,15,Nul,très chaud,23
1325,Sableux,Noiratre (Rich),Irrigue (Continu),18,Nul,humide,36
1326,Limoneux,Noiratre (Rich),Irrigue (Continu),20,Moyen (Zezika Omby),très chaud,48
1327,Limoneux,Brun-Grisatre,Irrigue (Continu),13,Moyen (Zezika Omby),très chaud,46
1328,Argileux (Madity),Orange / Rouge,Pluvial,6,Moyen (Zezika Omby),tres froid,10
1329,Sableux,Noiratre (Rich),Pluvial,8,Fort (Zezika + NPK),froid,13
1330,Sableux,Brun-Grisatre,Irrigue (Continu),13,Fort (Zezika + NPK),froid,29
1331,Limoneux,Orange / Rouge,Irrigue (Continu),5,Fort (Zezika + NPK),chaud,37
1332,Argileux (Madity),Noiratre (Rich),Pluvial,9,Nul,tres froid,45
1333,Argileux (Madity),Orange / Rouge,Irrigue (Continu),14,Nul,très chaud,30
1334,Limoneux,Noiratre (Rich),Irrigue (Continu),15,Nul,tres froid,14
1335,Sableux,Orange / Rouge,Irrigue (Continu),9,Moyen (Zezika Omby),froid,24
1336,Sableux,Brun-Grisatre,Irrigue (Continu),6,Fort (Zezika + NPK),chaud,31
1337,Limoneux,Noiratre (Rich),Irrigue (Continu),14,Moyen (Zezika Omby),très chaud,43
1338,Limoneux,Orange / Rouge,Pluvial,18,Nul,tres froid,10
1339,Sableux,Noiratre (Rich),Pluvial,10,Nul,froid,10
1340,Sableux,Noiratre (Rich),Pluvial,6,Fort (Zezika + NPK),humide,10
1341,Limoneux,Noiratre (Rich),Pluvial,18,Nul,chaud,40
1342,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),17,Moyen (Zezika Omby),humide,50
1343,Sableux,Orange / Rouge,Irrigue (Continu),16,Nul,chaud,25
1344,Argileux (Madity),Brun-Grisatre,Pluvial,8,Fort (Zezika + NPK),froid,18
1345,Limoneux,Noiratre (Rich),Irrigue (Continu),17,Nul,chaud,49
1346,Limoneux,Noiratre (Rich),Irrigue (Continu),7,Fort (Zezika + NPK),froid,30
1347,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),18,Moyen (Zezika Omby),très chaud,39
1348,Sableux,Orange / Rouge,Pluvial,13,Moyen (Zezika Omby),humide,19
1349,Argileux (Madity),Brun-Grisatre,Pluvial,15,Moyen (Zezika Omby),très chaud,32
1350,Limoneux,Brun-Grisatre,Pluvial,13,Moyen (Zezika Omby),froid,19
1351,Argileux (Madity),Noiratre (Rich),Pluvial,20,Nul,froid,29
1352,Sableux,Noiratre (Rich),Irrigue (Continu),15,Fort (Zezika + NPK),tres froid,27
1353,Sableux,Brun-Grisatre,Pluvial,10,Moyen (Zezika Omby),tres froid,12
1354,Limoneux,Orange / Rouge,Pluvial,20,Fort (Zezika + NPK),chaud,44
1355,Sableux,Orange / Rouge,Pluvial,11,Moyen (Zezika Omby),humide,17
1356,Sableux,Orange / Rouge,Pluvial,12,Nul,froid,10
1357,Argileux (Madity),Noiratre (Rich),Pluvial,16,Fort (Zezika + NPK),froid,39
1358,Sableux,Noiratre (Rich),Pluvial,15,Fort (Zezika + NPK),chaud,36
1359,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),14,Fort (Zezika + NPK),froid,46
1360,Argileux (Madity),Noiratre (Rich),Pluvial,7,Nul,chaud,25
1361,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),16,Fort (Zezika + NPK),chaud,50
1362,Sableux,Orange / Rouge,Irrigue (Continu),8,Moyen (Zezika Omby),humide,25
1363,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),18,Nul,tres froid,15
1364,Limoneux,Noiratre (Rich),Pluvial,10,Moyen (Zezika Omby),chaud,38
1365,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),18,Moyen (Zezika Omby),humide,20
1366,Limoneux,Brun-Grisatre,Irrigue (Continu),14,Nul,froid,23
1367,Limoneux,Orange / Rouge,Pluvial,8,Moyen (Zezika Omby),chaud,25
1368,Sableux,Orange / Rouge,Irrigue (Continu),9,Fort (Zezika + NPK),chaud,35
1369,Limoneux,Brun-Grisatre,Pluvial,12,Nul,chaud,25
1370,Sableux,Brun-Grisatre,Pluvial,11,Moyen (Zezika Omby),humide,18
1371,Sableux,Brun-Grisatre,Irrigue (Continu),19,Fort (Zezika + NPK),humide,35
1372,Sableux,Noiratre (Rich),Pluvial,8,Nul,chaud,25
1373,Sableux,Brun-Grisatre,Irrigue (Continu),9,Nul,très chaud,16
1374,Sableux,Noiratre (Rich),Irrigue (Continu),12,Moyen (Zezika Omby),très chaud,45
1375,Sableux,Orange / Rouge,Irrigue (Continu),5,Moyen (Zezika Omby),tres froid,10
1376,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),10,Nul,froid,35
1377,Argileux (Madity),Noiratre (Rich),Pluvial,20,Moyen (Zezika Omby),très chaud,49
1378,Limoneux,Orange / Rouge,Pluvial,5,Nul,humide,10
1379,Sableux,Noiratre (Rich),Irrigue (Continu),12,Fort (Zezika + NPK),humide,42
1380,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),17,Nul,humide,25
1381,Argileux (Madity),Noiratre (Rich),Pluvial,9,Nul,humide,25
1382,Limoneux,Orange / Rouge,Pluvial,17,Moyen (Zezika Omby),humide,26
1383,Argileux (Madity),Noiratre (Rich),Pluvial,19,Nul,très chaud,10
1384,Argileux (Madity),Noiratre (Rich),Pluvial,18,Moyen (Zezika Omby),froid,28
1385,Sableux,Orange / Rouge,Pluvial,13,Nul,très chaud,10
1386,Sableux,Brun-Grisatre,Pluvial,11,Fort (Zezika + NPK),chaud,35
1387,Sableux,Orange / Rouge,Irrigue (Continu),15,Moyen (Zezika Omby),humide,30
1388,Sableux,Orange / Rouge,Pluvial,13,Moyen (Zezika Omby),chaud,36
1389,Limoneux,Noiratre (Rich),Pluvial,8,Moyen (Zezika Omby),chaud,38
1390,Limoneux,Brun-Grisatre,Pluvial,8,Nul,très chaud,13
1391,Sableux,Orange / Rouge,Irrigue (Continu),6,Nul,humide,10
1392,Argileux (Madity),Orange / Rouge,Pluvial,5,Moyen (Zezika Omby),tres froid,10
1393,Sableux,Brun-Grisatre,Pluvial,12,Nul,froid,10
1394,Sableux,Noiratre (Rich),Irrigue (Continu),19,Nul,très chaud,38
1395,Argileux (Madity),Orange / Rouge,Pluvial,13,Moyen (Zezika Omby),humide,25
1396,Limoneux,Orange / Rouge,Pluvial,8,Moyen (Zezika Omby),froid,14
1397,Sableux,Noiratre (Rich),Pluvial,6,Nul,froid,49
1398,Sableux,Noiratre (Rich),Irrigue (Continu),14,Nul,humide,25
1399,Sableux,Brun-Grisatre,Pluvial,5,Moyen (Zezika Omby),tres froid,10
1400,Argileux (Madity),Orange / Rouge,Pluvial,10,Nul,très chaud,15
1401,Limoneux,Orange / Rouge,Pluvial,11,Nul,froid,10
1402,Sableux,Brun-Grisatre,Irrigue (Continu),14,Moyen (Zezika Omby),humide,32
1403,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),9,Moyen (Zezika Omby),humide,46
1404,Sableux,Noiratre (Rich),Pluvial,7,Nul,humide,10
1405,Limoneux,Brun-Grisatre,Irrigue (Continu),17,Moyen (Zezika Omby),froid,39
1406,Limoneux,Orange / Rouge,Pluvial,7,Nul,froid,10
1407,Sableux,Orange / Rouge,Pluvial,15,Moyen (Zezika Omby),tres froid,10
1408,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),16,Moyen (Zezika Omby),froid,37
1409,Limoneux,Orange / Rouge,Pluvial,6,Moyen (Zezika Omby),tres froid,39
1410,Argileux (Madity),Orange / Rouge,Irrigue (Continu),10,Nul,très chaud,19
1411,Argileux (Madity),Brun-Grisatre,Pluvial,8,Nul,froid,12
1412,Limoneux,Noiratre (Rich),Irrigue (Continu),18,Moyen (Zezika Omby),tres froid,30
1413,Limoneux,Brun-Grisatre,Irrigue (Continu),8,Fort (Zezika + NPK),tres froid,24
1414,Limoneux,Orange / Rouge,Pluvial,18,Moyen (Zezika Omby),humide,29
1415,Limoneux,Noiratre (Rich),Irrigue (Continu),10,Moyen (Zezika Omby),chaud,50
1416,Argileux (Madity),Orange / Rouge,Pluvial,5,Nul,tres froid,10
1417,Sableux,Noiratre (Rich),Pluvial,8,Fort (Zezika + NPK),tres froid,16
1418,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),16,Nul,froid,37
1419,Sableux,Orange / Rouge,Pluvial,9,Fort (Zezika + NPK),chaud,27
1420,Sableux,Brun-Grisatre,Pluvial,6,Nul,chaud,14
1421,Sableux,Orange / Rouge,Pluvial,13,Fort (Zezika + NPK),humide,28
1422,Limoneux,Orange / Rouge,Irrigue (Continu),18,Moyen (Zezika Omby),humide,33
1423,Sableux,Orange / Rouge,Irrigue (Continu),14,Fort (Zezika + NPK),très chaud,42
1424,Limoneux,Noiratre (Rich),Pluvial,11,Moyen (Zezika Omby),humide,27
1425,Limoneux,Noiratre (Rich),Pluvial,13,Moyen (Zezika Omby),chaud,40
1426,Limoneux,Brun-Grisatre,Pluvial,6,Moyen (Zezika Omby),chaud,30
1427,Sableux,Brun-Grisatre,Irrigue (Continu),5,Nul,froid,11
1428,Sableux,Brun-Grisatre,Irrigue (Continu),14,Nul,tres froid,15
1429,Sableux,Noiratre (Rich),Pluvial,9,Moyen (Zezika Omby),humide,27
1430,Limoneux,Brun-Grisatre,Irrigue (Continu),6,Moyen (Zezika Omby),tres froid,15
1431,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),20,Nul,très chaud,48
1432,Limoneux,Noiratre (Rich),Irrigue (Continu),17,Moyen (Zezika Omby),très chaud,48
1433,Sableux,Noiratre (Rich),Irrigue (Continu),9,Moyen (Zezika Omby),humide,36
1434,Limoneux,Noiratre (Rich),Pluvial,16,Nul,froid,18
1435,Limoneux,Orange / Rouge,Irrigue (Continu),14,Nul,chaud,24
1436,Sableux,Noiratre (Rich),Irrigue (Continu),12,Fort (Zezika + NPK),humide,32
1437,Argileux (Madity),Brun-Grisatre,Pluvial,12,Fort (Zezika + NPK),humide,26
1438,Sableux,Brun-Grisatre,Irrigue (Continu),19,Fort (Zezika + NPK),humide,43
1439,Sableux,Noiratre (Rich),Irrigue (Continu),19,Fort (Zezika + NPK),chaud,47
1440,Limoneux,Orange / Rouge,Pluvial,13,Moyen (Zezika Omby),humide,30
1441,Argileux (Madity),Orange / Rouge,Irrigue (Continu),18,Nul,chaud,44
1442,Argileux (Madity),Orange / Rouge,Pluvial,14,Fort (Zezika + NPK),tres froid,23
1443,Limoneux,Orange / Rouge,Irrigue (Continu),17,Nul,tres froid,14
1444,Sableux,Orange / Rouge,Pluvial,13,Fort (Zezika + NPK),tres froid,10
1445,Argileux (Madity),Orange / Rouge,Pluvial,15,Moyen (Zezika Omby),chaud,45
1446,Limoneux,Orange / Rouge,Irrigue (Continu),15,Fort (Zezika + NPK),chaud,50
1447,Limoneux,Brun-Grisatre,Irrigue (Continu),17,Moyen (Zezika Omby),très chaud,38
1448,Argileux (Madity),Brun-Grisatre,Pluvial,19,Nul,tres froid,25
1449,Limoneux,Brun-Grisatre,Irrigue (Continu),14,Nul,tres froid,23
1450,Sableux,Orange / Rouge,Irrigue (Continu),14,Fort (Zezika + NPK),tres froid,18
1451,Sableux,Orange / Rouge,Pluvial,16,Moyen (Zezika Omby),très chaud,10
1452,Argileux (Madity),Orange / Rouge,Pluvial,8,Fort (Zezika + NPK),très chaud,28
1453,Sableux,Noiratre (Rich),Pluvial,6,Fort (Zezika + NPK),très chaud,10
1454,Argileux (Madity),Orange / Rouge,Irrigue (Continu),15,Nul,chaud,38
1455,Sableux,Brun-Grisatre,Irrigue (Continu),17,Nul,humide,16
1456,Sableux,Orange / Rouge,Irrigue (Continu),6,Fort (Zezika + NPK),chaud,37
1457,Argileux (Madity),Brun-Grisatre,Pluvial,8,Fort (Zezika + NPK),tres froid,21
1458,Argileux (Madity),Brun-Grisatre,Pluvial,18,Fort (Zezika + NPK),très chaud,37
1459,Limoneux,Orange / Rouge,Irrigue (Continu),15,Fort (Zezika + NPK),humide,42
1460,Sableux,Noiratre (Rich),Pluvial,10,Moyen (Zezika Omby),humide,31
1461,Limoneux,Brun-Grisatre,Irrigue (Continu),18,Moyen (Zezika Omby),tres froid,27
1462,Sableux,Noiratre (Rich),Pluvial,14,Nul,chaud,38
1463,Sableux,Noiratre (Rich),Irrigue (Continu),18,Moyen (Zezika Omby),froid,36
1464,Sableux,Brun-Grisatre,Irrigue (Continu),19,Fort (Zezika + NPK),froid,21
1465,Limoneux,Orange / Rouge,Irrigue (Continu),11,Moyen (Zezika Omby),froid,33
1466,Argileux (Madity),Noiratre (Rich),Pluvial,12,Fort (Zezika + NPK),froid,30
1467,Limoneux,Orange / Rouge,Pluvial,18,Nul,froid,10
1468,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),9,Nul,chaud,50
1469,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),20,Fort (Zezika + NPK),très chaud,50
1470,Limoneux,Orange / Rouge,Irrigue (Continu),8,Nul,froid,15
1471,Limoneux,Noiratre (Rich),Pluvial,14,Fort (Zezika + NPK),très chaud,34
1472,Sableux,Orange / Rouge,Pluvial,7,Nul,tres froid,10
1473,Limoneux,Orange / Rouge,Pluvial,17,Moyen (Zezika Omby),chaud,35
1474,Limoneux,Brun-Grisatre,Irrigue (Continu),20,Moyen (Zezika Omby),humide,34
1475,Argileux (Madity),Orange / Rouge,Pluvial,10,Moyen (Zezika Omby),tres froid,14
1476,Argileux (Madity),Noiratre (Rich),Pluvial,14,Fort (Zezika + NPK),tres froid,24
1477,Sableux,Brun-Grisatre,Pluvial,14,Moyen (Zezika Omby),très chaud,50
1478,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),19,Moyen (Zezika Omby),froid,35
1479,Argileux (Madity),Noiratre (Rich),Pluvial,19,Nul,humide,40
1480,Limoneux,Brun-Grisatre,Pluvial,19,Fort (Zezika + NPK),tres froid,26
1481,Argileux (Madity),Noiratre (Rich),Pluvial,5,Moyen (Zezika Omby),très chaud,49
1482,Sableux,Noiratre (Rich),Pluvial,7,Moyen (Zezika Omby),humide,12
1483,Limoneux,Noiratre (Rich),Irrigue (Continu),9,Nul,très chaud,30
1484,Limoneux,Brun-Grisatre,Pluvial,20,Nul,très chaud,12
1485,Limoneux,Orange / Rouge,Pluvial,10,Moyen (Zezika Omby),très chaud,21
1486,Limoneux,Orange / Rouge,Irrigue (Continu),7,Nul,tres froid,10
1487,Sableux,Brun-Grisatre,Pluvial,15,Nul,chaud,12
1488,Limoneux,Noiratre (Rich),Pluvial,15,Nul,tres froid,19
1489,Limoneux,Brun-Grisatre,Pluvial,12,Moyen (Zezika Omby),très chaud,26
1490,Sableux,Brun-Grisatre,Irrigue (Continu),17,Moyen (Zezika Omby),humide,24
1491,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),10,Moyen (Zezika Omby),humide,46
1492,Limoneux,Orange / Rouge,Irrigue (Continu),18,Nul,chaud,33
1493,Sableux,Brun-Grisatre,Irrigue (Continu),19,Moyen (Zezika Omby),chaud,50
1494,Argileux (Madity),Noiratre (Rich),Pluvial,15,Nul,humide,29
1495,Sableux,Noiratre (Rich),Irrigue (Continu),9,Nul,chaud,35
1496,Limoneux,Orange / Rouge,Pluvial,11,Fort (Zezika + NPK),tres froid,18
1497,Limoneux,Brun-Grisatre,Irrigue (Continu),6,Fort (Zezika + NPK),tres froid,18
1498,Sableux,Brun-Grisatre,Irrigue (Continu),13,Nul,très chaud,23
1499,Sableux,Noiratre (Rich),Pluvial,14,Fort (Zezika + NPK),tres froid,10
1500,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),9,Moyen (Zezika Omby),froid,35
1501,Argileux (Madity),Brun-Grisatre,Pluvial,12,Moyen (Zezika Omby),humide,31
1502,Limoneux,Noiratre (Rich),Pluvial,5,Nul,chaud,30
1503,Limoneux,Noiratre (Rich),Pluvial,17,Moyen (Zezika Omby),tres froid,25
1504,Argileux (Madity),Brun-Grisatre,Pluvial,17,Fort (Zezika + NPK),chaud,50
1505,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),18,Fort (Zezika + NPK),chaud,50
1506,Argileux (Madity),Noiratre (Rich),Pluvial,11,Moyen (Zezika Omby),humide,35
1507,Sableux,Brun-Grisatre,Pluvial,12,Nul,très chaud,10
1508,Limoneux,Noiratre (Rich),Pluvial,14,Nul,chaud,47
1509,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),13,Moyen (Zezika Omby),très chaud,38
1510,Limoneux,Orange / Rouge,Irrigue (Continu),10,Moyen (Zezika Omby),tres froid,29
1511,Limoneux,Brun-Grisatre,Irrigue (Continu),8,Nul,chaud,42
1512,Argileux (Madity),Orange / Rouge,Irrigue (Continu),17,Nul,chaud,41
1513,Argileux (Madity),Orange / Rouge,Irrigue (Continu),14,Fort (Zezika + NPK),chaud,50
1514,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),18,Fort (Zezika + NPK),très chaud,50
1515,Sableux,Noiratre (Rich),Pluvial,8,Moyen (Zezika Omby),tres froid,10
1516,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),19,Moyen (Zezika Omby),tres froid,35
1517,Sableux,Orange / Rouge,Pluvial,14,Moyen (Zezika Omby),humide,27
1518,Sableux,Brun-Grisatre,Irrigue (Continu),16,Fort (Zezika + NPK),froid,34
1519,Limoneux,Noiratre (Rich),Irrigue (Continu),20,Moyen (Zezika Omby),chaud,50
1520,Argileux (Madity),Noiratre (Rich),Pluvial,13,Moyen (Zezika Omby),froid,31
1521,Limoneux,Orange / Rouge,Irrigue (Continu),7,Moyen (Zezika Omby),très chaud,25
1522,Argileux (Madity),Orange / Rouge,Pluvial,19,Fort (Zezika + NPK),tres froid,16
1523,Sableux,Noiratre (Rich),Pluvial,14,Moyen (Zezika Omby),humide,33
1524,Sableux,Noiratre (Rich),Pluvial,7,Nul,froid,12
1525,Sableux,Orange / Rouge,Pluvial,5,Moyen (Zezika Omby),froid,10
1526,Limoneux,Noiratre (Rich),Pluvial,6,Fort (Zezika + NPK),très chaud,19
1527,Limoneux,Brun-Grisatre,Irrigue (Continu),7,Nul,froid,11
1528,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),19,Moyen (Zezika Omby),chaud,50
1529,Limoneux,Noiratre (Rich),Irrigue (Continu),6,Nul,humide,25
1530,Limoneux,Orange / Rouge,Irrigue (Continu),16,Fort (Zezika + NPK),froid,35
1531,Argileux (Madity),Brun-Grisatre,Irrigue (Continu),9,Fort (Zezika + NPK),froid,36
1532,Sableux,Orange / Rouge,Irrigue (Continu),10,Moyen (Zezika Omby),froid,21
1533,Limoneux,Brun-Grisatre,Pluvial,20,Moyen (Zezika Omby),tres froid,14
1534,Sableux,Noiratre (Rich),Irrigue (Continu),19,Nul,très chaud,21
1535,Argileux (Madity),Noiratre (Rich),Pluvial,11,Fort (Zezika + NPK),humide,40
1536,Argileux (Madity),Noiratre (Rich),Pluvial,14,Nul,très chaud,24
1537,Sableux,Brun-Grisatre,Pluvial,16,Nul,froid,10
1538,Sableux,Orange / Rouge,Pluvial,14,Fort (Zezika + NPK),froid,23
1539,Argileux (Madity),Noiratre (Rich),Irrigue (Continu),16,Moyen (Zezika Omby),froid,46
1540,Sableux,Orange / Rouge,Pluvial,14,Nul,chaud,14
1541,Argileux (Madity),Orange / Rouge,Irrigue (Continu),9,Nul,humide,26
1542,Limoneux,Orange / Rouge,Pluvial,20,Fort (Zezika + NPK),très chaud,36
1543,Limoneux,Noiratre (Rich),Pluvial,18,Nul,tres froid,15
1544,Limoneux,Orange / Rouge,Irrigue (Continu),7,Nul,humide,11
1545,Sableux,Noiratre (Rich),Pluvial,11,Fort (Zezika + NPK),froid,16
1546,Sableux,Noiratre (Rich),Pluvial,13,Fort (Zezika + NPK),froid,22
1547,Sableux,Brun-Grisatre,Pluvial,11,Moyen (Zezika Omby),chaud,29
1548,Argileux (Madity),Brun-Grisatre,Pluvial,5,Fort (Zezika + NPK),humide,22
1549,Limoneux,Brun-Grisatre,Irrigue (Continu),15,Fort (Zezika + NPK),tres froid,20
1550,Sableux,Noiratre (Rich),Irrigue (Continu),12,Fort (Zezika + NPK),très chaud,22
1551,Sableux,Orange / Rouge,Pluvial,16,Moyen (Zezika Omby),chaud,28
1552,Sableux,Orange / Rouge,Irrigue (Continu),18,Moyen (Zezika Omby),humide,29
1553,Sableux,Orange / Rouge,Pluvial,8,Moyen (Zezika Omby),froid,21
1554,Limoneux,Orange / Rouge,Irrigue (Continu),7,Fort (Zezika + NPK),tres froid,21
1555,Limoneux,Noiratre (Rich),Pluvial,20,Moyen (Zezika Omby),très chaud,40
1556,Limoneux,Brun-Grisatre,Irrigue (Continu),17,Fort (Zezika + NPK),très chaud,39
1557,Limoneux,Brun-Grisatre,Pluvial,12,Moyen (Zezika Omby),humide,20
1558,Sableux,Orange / Rouge,Pluvial,16,Nul,froid,10
1559,Limoneux,Orange / Rouge,Pluvial,9,Nul,froid,14
